,Comment
125,"I was so confused in between S10+ and OP7 Pro because i was worried about weight and camera but both are excellent. I am glad that i opted OnePlus7 Pro. The moment i turned on the display i was simply amazed by its quality, seriously it's just pleasure to eyes to watch and feel this display.Other than this performance, camera, OS, and premium look of Nebula blue all are just amazing.Go for it and trust me you not gonna regret it."
126,"""WHICH PHONE SHOULD I BUY?"" Will be the common question of everyone today who are planning for the premium smartphone, especially with Snapdragon 855 Chipset.I think many of them have already written a detailed review of this product, OnePlus 7 Pro. But in this review, I want to focus on one issue of the current people, ""WHICH PREMIUM PHONE SHOULD I BUY?""Because earlier, it was a very easy task to judge the best, flagship, worthy premium smartphone - OnePlus. But now, it appears very difficult to select the best flagship smartphone. Because now we have so many options like S10, Note 10, K20, etc. to select. And even I was totally confused. But after buying and researching many premium phones, I am concluding things in this review.So now let us start to compare almost each and every premium smartphone with this OnePlus 7 Pro smartphone so that it will be helpful for you to buy the right smartphone.1) Samsung Note 10: Priced at 70000, less battery capacity, less powerful processor, smaller screen, no 90-hertz screen smoothness, no Quad-HD. So here OnePlus 7 Pro is the clear winner. You can choose this Samsung Note 10, only if your preference is a compact smartphone with S-Pen. Or else, please buy OnePlus 7 Pro itself.2) Samsung Note 10 Plus: Priced at 80000 (oh my God), performs less powerfully with Exynos chipset when compared to OnePlus 7 Pro's Snapdragon 855 processor. I don't know why Samsung doesn't provide Snapdragon chipsets for few countries for S series premium smartphones, even after charging 80k. And still same display - no 90-hertz smooth screen. And one more funniest thing, no 100% display. I mean, still, they are providing punch-hole selfie camera on the main display, whereas pop-up selfies are provided by other brands at just Rs.15,000 now. Come on Samsung! Even after charging 80,000, no pop-up camera? Kidding? So according to me, here also the clear winner is OnePlus 7 Pro. If your preference is S-Pen alone with the latest premium smartphone from Samsung brand, please go for this and pour your hard-earned money.3) Redmi K20 Pro: I have used this. By paying 33k you will be hit continuously by MI dirty ads, for a poor quality AMOLED display. I hated this. No way match even for OnePlus 7. I can clearly tell that this can't even beat OnePlus older smartphones. Xiaomi should realize that customers are paying money for what they are providing. Earlier the scenario was different. Only MI smartphones were very much budget-friendly and ads were accepted (that too by some people). But now, showing ads is like totally killing themselves. OnePlus 7 Pro is the clear winner here too. And I really don't see any good reasons why people should opt for Xiaomi phones anymore. Until they stop ads and spoil kids, I don't recommend MI phones to anyone anymore.4) Oppo Reno: I have used this too. Earlier I used to think that all AMOLED screens will be great. Because earlier, there were just Samsung and OnePlus to provide commonly AMOLED screens. But I learned from Redmi K20 and Oppo guys, that all AMOLED screens are not the same. These screens can never match even Samsung's entry-level smartphones' AMOLED display nor they can match OnePlus older versions' AMOLED displays. And moreover, what I really hated much was ColourOS UI of Oppo. My god! It is horrible I felt. According to me, here also OnePlus 7 Pro is the clear winner though Reno also uses Snapdragon 855 processor. Choose this only if your preference is high zooming of your rear-camera. Because Oppo Reno has 10x zoom while OnePlus 7 Pro's has just 3x camera zoom.5) Black Shark 2: In this 100% display era, MI, along with popping ads, is again lacking to provide the full display. This is a smartphone of having infinity display like OnePlus 5T or Samsung S8 and S9 series. So here also the clear winner is OnePlus 7 Pro. Again, I don't see any good reasons to go for this smartphone.6) Asus 6z: This smartphone has failed to provide the AMOLED display in spite of being categorized as a premium phone. Very surprising. This itself enough to lose the competition I guess and OnePlus 7 Pro is the clear winner here too. If the price is the only criteria, one can choose this unique revolving camera smartphone.7) Samsung S10: Again, I don't think it is good to pay a huge amount (61,900) for a smartphone with no 100% display in this era. So the winner here also is OnePlus 7 Pro. If a compact powerful phone is what you want, one can go for this.8) Samsung S10 Plus: Same goes here. My god...Samsung's pricings are too much I feel when compared to OnePlus 7 Pro. So the winner here also is OnePlus 7 Pro. If superb camera quality is the only needed factor, one can go for this Samsung S10 Plus.9) Huawei P30 Pro: It is a known fact that Huawei and its sibling Honor was banned by the US for spying. And Android itself was expected to be killed on these phones. Though the ban is lifted for time being, it is not certain that the ban-lift will be permanent or temporary. So why should one risk in investing a huge amount on this brand? So I feel time waste in researching these brand's smartphones. So I prefer OnePlus 7 Pro only here also.10) Honor View 20: Same 9th point goes here.11) Huawei Mate 20 Pro: Same 9th point goes here.12) Google Pixels: Again, the Samsung theory goes here. When the era is of 100% displays, punch-hole cameras, infinity displays, notch displays, waterdrop displays, etc. are all meaningless I feel. So my choice is OnePlus 7 Pro without any doubts.So after researching and trying everything, I strongly feel that currently, OnePlus 7 Pro is the only model which can be trusted and you get more than what you pay.Frankly speaking, initially, when OnePlus launched this 7 Pro smartphone, I was disappointed by considering the price factor and the smartphone's size factor also. But now after using for a few days, that too after trying all other brands, I am really feeling that this OnePlus 7 Pro is worth for every penny you pay. Even the phone is NOT BULKY IF YOU USE A RIGHT SLIM CASE.The display itself mind-blowing and everything provided in the package is very, very powerful. All the three colors are beautiful - mirror grey, almond white, and nebula blue. Chose whichever you want. And feel free to submit questions to me. I will try to answer."
127,I have buy this phone on the first when it come on amazon for sale. but after comparing this oneplus 7 pro camera with old oneplus 6 and oneplus 6t they have much batter camera then this op7 pro. but they are avalabile in 32999/- and i have spent 53000/- almost 20000 for this phone but i am not happy with this phone camera.i cant return this product because i have purchase this phone on bajaj emi. but now i am feeling cheated by oneplus india.
128,"First of all i m using ONE PLUS for the first time. The phone performance is mind blowing, no lag nothing at all.🖥️The Display is so awesome, u will fall in love with it. 😍😍📷 Camera is gud bt still it requires improvement in my view🔋 Battery is Good, i think due to big screen it consume battery a little faster, bt after updates it will be fixed definitely..🎮Game lover Go for it no doubt..And dont think for negative review. I dont knw why people are so stupid.. 😂"
129,Never buy this product or anything from oneplus within 8 days this phone is not working because of just little rain and now company is asking me to pay 41000 to repair it. The Chinese companies are only to loot Indian people.
130,Everything is ok  but its camera doesn't meet the requirement.. i can't tell its 50k+ device with this rubbish camera quality ..toooooo soft images ..no sharp image and less detail in camera.  Front camera is not usable ..too low quality..Even redmi note 7 pro has more detail than this camera .. this phone made fun of me among my friends in camera department.Fix the camera one plus
131,Phone is good except the feature hyped like Camera and Speed. Picture quality is not so great as expected. Also the finger touch screen do sometime have issue. Last 3 days phone has started hanging / getting freezed for sometime inpite of 12GB RAM and 256GB memory. Miss my SAMSUNG features where the phone can be handled with single hand. Also for calling from second SIM dialing is must to dial from  Primary SIM first and then again from called list can dial from second sim
132,"Review after using the phone after 12 days.Pros:1. Beautiful display without notch/punch hole.2. Easy access to older phone stuff (basically setting up this phone was insanely easy with all the ways offered to sync your data)3. Fingerprint scanner & face unlock is super quick and secure (couple of my friends actually tried to unlock my phone with my photo.. didn't work lol)4. Audio quality from both stereo speakers and earphones in amazing.Cons:1. No 3.5mm jack or even a convertor pin out of the box (which is huge for me, I'm still stranded as there is no stock for the convertor on the official store).2. Phone is massive, just about fits in my jeans pocket.Still working on more points, the above are just from top of my mind"
133,"Honest Review for One Plus 7 Pro :It's my first one plus phone(12GB RAM, 256GB ROM) which I bought 4 months back and I am quite happy with the design and performance of it. I will try to cover most of the positive and negative aspects of the phone.Pros :1. Speed - I have used mobile phone of every company and I must say it has the best performance ever. Apps opened in just fraction of seconds.2. Display - It has been a wonderful experience of using 90 hertz display which makes it more superior than other mobile phone displays.3. Camera - Stability of the camera is very good even you are recording video in moving vechicle.4. Notchless display - One of the coolest feature of this phone is it's full screen display without any notch which gives user an amazing experience.5. Battery - Currently, this phone has a battery back up of one and a half day. Will update it after completing 1 year.6. Fast Charging - It will take your phone to get full charge from 0 to 100 percent in just 1 hour 20 minutes. And in half an hour, it will charge your phone above 50 percent.Cons :1. Quite Heavy - As I have used number of phones I personally find it quite heavy which is due to hardware they have provided. But now I am habitual to it.2. Auto Brightness - Sometimes I feel the auto brightness feature doesn't works well. So in that case I have to manually adjust the brightness. May be oneplus can fix this issue in the upcoming software updates.3. Night mode in camera - Night mode of the camera is not that good as compared to other phones. It could be more better. May be this can also be fixed in next software update.4. Price - Upto OnePlus 6T the price of the phones were nearly 35k. This is the first phone which costs nearly 50k. Quite overpriced but value for money.5. No IP rating - Although company claims that it is water resistant but ip rating must be given by company for such a flagship phone.6. Glass panel - The phone is very slippery if you are using it without cover and back panel can easily break. Therefore, I suggest to have a good case to protect.7. No 3.5 mm jack - You have to compromise with the 3.5 mm audio jack if you want to purchase this phone. I sometimes feel there must be 3.5mm jack but then I use bluetooth earphones.To sum up, although there are number of disadvantages but still this phone is value for money. I hope this review will be helpful."
134,"It's okay okay Phone nothing so much extra ordinary about op7pro in 50 k plus budget. For me i have used Lg v30 plus . I find v30 plus had better features and technologies than this one. V30 plus comes with Wireless charging  ,IP68 rating, quadack headphone jack. In 4gb ram it runs fine i have played PUBG in it for year long and never ever it said restarted . I found divice is beat underrated. If you are planning for same features go for it. Now LG v30 plus comes in 25 k . May be you can plan buy LG V40 plus in latest in OP7PRO budget with better features .Phone start working on itself.Finger sensor works only if you press rightly and tightly fingerprint sensor sucks compare to other flagship phone I will not recommend OP7 Pro.Wasted 50k."
135,"This phone is at its best , no complaints apart from the camera which is a software issue and not a hardware (this can be fixed). . Many have hate comments on this phone but truth be told, they are just mindless people who bought a product without even understanding it... Such mindless people should go for an iphone 🤣🤣 and pay around 1.5 lakhs... For gamers this phone is a beast !!!!"
136,"This is my personal experience I am sharing. After 10days of purchase,  the phone got hanged during call, and the system didn't work for half an hour,not even power and reboot button. The problem recurred after 1 week.  After investing this big amount for a phone,  this kind of experience really gets you into trouble.Also,  would advice Amazon to extend return timeline and should give 1 month for these kind of products, as these are big investment for the user."
137,"Fingerprint reader: Initially gave me a tough time, but guess the system is used to me now😅 works fine nowCamera: Not so happy about the video quality the images are gudBattery life: A little tweak with the system will help prolong the battery life..And about cons: Show me a mobile which has no cons,personally I am happy and pretty much satisfied with my 7 pro🥰"
138,Amazing display quality and the curved edged display.Best in class camera.Better battery life and charging.Everything is best except the thing that one plus hasn't provided headphones with handset..n even cleaning cloth is not there...only one transparent cover case is available..phone doesn't have headphones jack n hence it should have provided headphones.
139,"I am very much upset at the phones working. I have used one plus  3t, 5,  6, 6t but unfortunately this phone when in landscape mode blank screen is showing.  Being number one e-commerce site has to check in all parameters before despatch as customer buys only on name AMAZON  tag.  The set has to be replaced or repaired at doorstep by One plus. They have to sell genuine products when competitors increase"
140,"This is the first time I have moved away from Samsung as I have heard a lot from one plus users about it. I purchased it on 28th May as soon as Nebula blue was available. Honestly saying, I'm using galaxy notes since the launch of NOTE 1. I NEVER thought of opting out of note series. But believe me I have never used such a beautiful phone in my life. Although I have paid 50k bucks for previous phone.Keeping all pros and cons aside--This phone is A BEAST!! My favorite think about this is-- Warp charge!Com'on NO phone ever charges in less than an hour but it does. Whenever I go for bath it charges almost full and battery draining is not quick even if I stream live matches. Gone are those days when We had to worry about powerbanks charger plugs etc. I don't know about other reviewers, but for me it's totally worthy to spend 50k on this masterpiece."
141,"I brought it 5 days ago and lots of thinking between S10 then gone for this one. Sinse last 6 years I am using Samsung S series and still have my S8 as my secondary backup phone. No doubt the phone is good, fast, speedy, great display. I am not regret as its best value for money when hardware, performance and price considered. All these below points are just I dont like, there are lots of other things which I like as well.1. The phone is heavy and big. 207gram feels like a brick. If you fill-up a phone with features but still form factor is not practical use then this is a fail. UFS 3.0 storage only have write speed of 229MB/S, this is lower than some phones with UFS2.1 example: S10. The phone design is common and looks just like other Mi, Vivo Oppo phones. No X factor. In my view its a premium Chinese phone.2. Camera is a myth. Sony IMX586 is a failed and over hiped sensor in its era. Now a days used in mid range Chinese phones. I wish OnePlus should have skipped this one. If camera in a phone is your primary requirement then keep away from this. I love photography and have my DSLR for that so I dont trust any phone camera or that was not a concern for me. I have tested in all conditions and sorry to say this is a bad camera for a flagship. Front camera is good enough and I like it including its design. I recommed that please turn of scene recognition, auto HDR in camera settings menu to click at least some good pictures in day light. For night or dark light camara is good I believe. I assumed that the developer team put their entire efforts to bring a camera which can provide good photos in night and forget that we take most of the photos in day light. So those night calibrated auto settings will ruin your daylight photos. But still even if you try to get best shots, its far behind Apple and Samsung Cameras.3. Oxygen OS is good and fast I am using 1st time, but it doesn't have native apps like Email Client, Music Player, Payment App, Security App, Calendar, Contact, Phone Call and so many others. For all these it's depending on stock Android. Now you say whats a big deal? Apps are available in playstore for free to download. But I think those free application are comes with lots of advertisements, notification and even Google native apps track you for their add selling. I use yahoo mail, why I will pay yahoo 350 rupees monthly to use their email client. Another thing I noticed that Home bar doesn't auto hide during keyboard popup so I accidentally click the home key many times during type and suddenly go to home screen. That is a big drawback. The home bar should be hide during type. OnePlus please look that simple but very useful stuff.Rest assured, I also agree with others that its an insanely fast phone. Battery is best in class as per my use. This is a good phone and would be best if Oneplus taken care of some useful requirements. A great Display and good hardware will not certify a phone as a flagship. There are lots of other aspects need to be considered. This phone doesn't fulfilled my criteria of a flagship however personal choices may be different by individuals."
142,"Had the 6t before this and wanted to check this phone out for it's 90 hz display and QHD+ resolution. It turns out the hype is real and once you start using this display, it's hard to use the one on the 6t or any other phone (60 hz I believe). You can actually tell the difference.The all-screen no-notch display is excellent and with 516 ppi, the display is very sharp and the performance is super fast. (I got the 12/256 version).Although you can turn the display back to output 60hz, you'll get so used to the 90hz that you'll have a hard time adjusting.Got it on the Diwali offer on Amazon with quick and damage-free delivery.Don't really use the selfie camera much on any phone, so can't really comment on that. But it does help that it's hidden on top so that you get a notch-free display. Can't comment on the back camera either as I'm not really a big photo-taking person.Should you get the 7t Pro instead of this? It depends, if you just want the McLaren edition or the 855+ chipset. Otherwise, this is an amazing option as it released just four months before and at the current price for the maxed out 12/256 version, it makes a lot of sense that you go for this."
143,I bought this phone only for snapdragon 855 processor and all new 90hz display. I am satisfied with the display and the performance it provides. I don't use camera of any phone so my review will not tell about camera. But as I've seen with this phone camera quality is little bit average I'll say. This phone have some serious issues about the weight balance and absence of 3.5mm jack (adapter is not available also inbox ofcourse they want customers to spend valuable money on there brand). And non availability of 3.5mm adapter on official site is also a problem. Stereo speakers are also soo average.
144,"Amazing performance. Gamers are gonna love this phone. I can't believe how incredibly fast the fingerprint scanner is.When it comes to camera, no words can explain its potential. With the right knowledge of photography you can capture amazing shots. In the pro mode it provides great features where you can control the shutter speed, iso, manual focus. You can check it out in YouTube.Coming to the display its very smooth. You can only feel the difference when you have been using your phone for a couple of days and then try to use your old phone.Battery life is good. But not that great. The 90hz drains a lot of battery.Theres tons of other things that make this phone great. Or else why do you think I would be typing such a long review.So guys, if you have around 50k budget, trust me, this is the one."
145,Seriously i bought this phone because i thought one plus is a true premium phone and one plus 7 pro would be a new flagship killer. Its been 2 weeks i have been this phone and started having problem with this.After the os update which one plus suggested 2 days back i have started having problems with this phone.During voice call other person voice is not clear always.Screen started hanging and many such small problems.Being such a premium smart phone manufacturer company i did not expect this issues from one plus.They always talk about the specifications and features but not about efficiency and reliability.Why such issues after every update.And i can not even see any difference after os update and update affected my phone's primary features.
146,"1. ScreenOMG. Use this Hulk once and you see all the other devices as tiny toddlers. Screen is the next Generation feature and it's absolute delight to watch youtube on this.2. Oxygen OSConfigurable. Sleek. Ease of use. It's addictive3. Top notch configWeather it's 12 GB RAM, 256 GB ROM or 30 htz Warm charging. It's top notch industry leading configuration. What more you will ask for?No wireless charging. No IP certification. Not required and no body cares.OnePlus becomes a market leader with this dream phone."
147,PRO's1.Display- Stunning it is the Best Display Today2.Design and Build Quality- It will blow u out3.Perforamce- The Fastest Android Phone no need to say Snap 855 with Oxygen OS Deadly Combination Absolutely Beast4.Camera- It is the Only department Where it is behind Pixel or Galaxy Note or Apple or Huawei Flagships Still it is not deal Breaker5.Audio-Stereo Speakers Damn Loud6.Vibration-Just Amazing Haptic feedback7.Connections-Call Quality brilliant Tested with Airtel and Idea networks8.Battery- Will get uu 1 day mostly and Warp Charging it will take 0-100 percent for about 80 mins initial 80% will be charged in 50 mins but last 20% takes 30 minsCON's-1.Biggest Con is No 3.5 headphone jack nor type C earphones in box2.No Wireless Charging not usefull though3.No official IP rating could have given by them4.Bit on a Expensive Side by OnePlus5.No Gorilla Glass 6 Which is Shocking
148,"This is beautiful gem. I ordered it even after knowing of all the issues people are facing on it, I was little afraid but thank God I am not facing any such issues, no ghost touch, no battery drain etc. Camera might not be good for people who regularly use high end devices, but it's not bad. The overall experience is just amazing be it sound from speakers, the beautiful display and the smoothness of OS' transition animations, and ofcourse the new haptic feedback motor is amazing, it makes the overall experience even better. If you have money to spend, don't hesitate and go for it."
149,Works like charm..... #oneplus Never makes their customer down...... But shows lill bit of sadism in releasing colours.... Overall im very satisfied wid CAMERA:- not soo wide angled but its great nd no additional things added jst like oneplus 6 nd 6 and front popup camera works fine and crystal clear images can be takenBATTERY:-works great whole day and heres a tip use fhd+ and 60hz refresh rate for better battery backup when u needy.....PERFORMANCE:- ONEPLUS never settles as it says..... Even i use 6gb ram not even small lag detectedStereo speakers and dolby atmos... Even there is no overhead speakers they managed well to cover it... Wat ever its a small defect but it works wellOverall it's great product from oneplus and  #NEVERSETTLE
150,"Great device you can buy on this OnePlus 6th anniversary sale at Amazon...(I bought it at 41,000 Rs 8gb+256 gb version with grey color) .After Android 10 update this device become super cool in every aspect ( with little bit tweaks and tricks).Pros : -1. Great display with dolby atmos sound support2. Fast charging feature 0-100% charge is done within an hour3. Fast fingerprint scanner4. UFS 3.0 support is great.5. Smooth gaming Experience6. Face unlock with pop up camera is COOL😎Cons : -After using Samsung device with oneui I feel Samsung is better in lots of factors, but this device is great if you considered its price.After buying this device Im very happy with this device. Great work done here specially in OnePlus 7 pro device from OnePlus Team ... I'm not lying but this is what I am imagine after I saw OnePlus 6 model coz this device makes great leap in every aspect from its predecessor models and fullfilled my 80 % of wishlist related smartphone.Thank You OnePlus and Thank You Amazon for making this happen!!! 😍😍😍🙏"
151,It's a beast.Exceeding all your expectations.Worth every penny.Jus hooe you may secure the phone.There's a pre installed screen guard tepered glass.Such a goot battery backup with the best charging speed.I recoreded on my watvh it have 38 mins for full charge frome 20%Camera is just worth it better than googlepixel just a bit down in protrait.Only drawback is you don't get earphones. Which OnePlus should have given in this pricerange.Hiving 5 stars on the basis of using ohone for 3 days.Worth it.
152,"Worst camera quality...... I thought I m getting the best phone but it's the worst one.... Plz do go for this mobile. With the amount of hype they made in media it's just a wastage of money. This is not a trusted brand to go for. Even I don't like to one star rest of the phone in the market will give the best phone with lots of features like vivo, oppo or Samsung. I raised a compliant with the tech team and will take it media for cheating us. I suggest all who are having the same problem take this to media in all forum, so that this company oneplus will understand and will do the needful. If not we have lots of ways to make them understand and return our money."
153,I've been an iPhone user for more than a decade and this is my secondary phone. I'm writing this review after having used the One plus 7 pro for over 2 months. This is possibly the best overall phone available in the market if the price is taken into consideration.Pro:Good camera for recreational use. (Not for photography enthusiasts).One of the best refresh rates. Makes the entire experience of using the phone seamless.The screen quality is amazing.The phone feels well built and almost premium quality.No NOTCHThe OS is one of the best I've used. Closer to the original android.Curved screen and 90 GHz refresh rate make it the best phone around for video viewing.Unbelievably Fast ChargingCons:The camera is not at the level of other flagships. It tends to correct photographs too much. If you're looking to click accurate pictures its not the best one out there.The phone is quite heavy.
154,1.) CAMERA QUALITY IS GOOD BUT VIDEO RECORDING CONTINUES NOT WORKING PROPERLY WITHIN 25 SECOND RECORDING ONLY.2.) MOVIE SEE IN MOBILE NOT PROPERLY BECAUSE MOBILE SCREEN AGAIN AND AGAIN SMALL SCREEN DIVERT.3.) MOBILE TOUCH WORKING MISSING.4.) YOUTUBE SHOW WIRELESS HEADPHONE AND 2 EXTRA COVER WITH PHONE BUT NOT RECEIVED WITHTHIS PHONE.
155,"I had purchased one Plus 7 pro 8 GB Almond color from Amazon based on a friend's suggestion but totally regret the purchase. I'm a new user for One Plus & previously owned Apple, Vivo,Letv, Coolpad, Samsung, Honor, Motorola,Xolo,etc.,never experienced such an awkward performance in those mobile's. Spending half a Lakh Indian rupees on this mobile the File manager videos file's takes time to load in order to open the same, While on call second call gets answered automatically, Both front & Back camera clarity are not up to the mark & there are lots of other issues while using the mobile I'm not at all happy using this device & feel like exploited for buying a premium range mobile with a basic mobile's performance. Need a solution for the same at the earliest."
156,"This is my first phone in the premium category and I'm glad I went ahead with investing those extra 20000 rupees for a phone. 12 GB of RAM will look after every thing that you can ever ask of a phone. I had no idea of what difference a screen of 90Hz refresh rate or 60Hz meant. But after using this phone and having seen my friend's 6T I can say that a 90 Hz screen is so buttery smooth that it spoils you. Fingerprint scanner has gotten better with every touch. Battery performance isn't too great but it does charge lighting quick. The curved screen and the Fluid Amoled Display just packs that final punch.It's not always we think of going for a 50k+ phone and if you're thinking of upgrading your phone and have the budget, go for OP7Pro without any apprehensions.Edit: I'm no pro photograper but the camera seems to be better with additional features after the Android 10 update."
157,"Good phone. - Review after usage for a week.Best Full screen display i have used till now. Soo smooth(90hz refresh rate is a killer one).Camera is pretty good than the other mid-range phones (15 to 25k).Battery performance is nice. got full day(morning 9am to night 11pm) battery with single charge. (Since it is a new phone im spending more time with it, still battery is preforming nicely. im getting up to 7 hrs for screen usage time, with regular usage of whatsapp, instagram, facebook, insthorts, camera, photos, google news, Pubg(2 rounds), youtube (up to 30 mins), phones call of upto 20 mins) - Refresh rate - 90hz."
158,"I always have avoided oneplus so far just because how they call themselves flagship killer but yet miss on so many items, but with pro version oneplus has upped the game this year giving a tough competition to all the other flagships put there.Pros at a glance1. Worlds first phone with UFS 3.0, the phone is stupendously fast.2. QHD Screen with 90hz refresh rate, a very first on oneplus device. Once you get used to 90hz display all the other phones will be a joke in terms of scrolling performance.3. Great camera. Camera is great , though not to the level of many other flagships its great and there will gcam mods which will improve the quality.4. Stereo Speakers, again a very first on oneplus device, excellent quality.5. SD855 onboard.6. Warp Charge at 30W is sufficient enough to compensate the battery performance with 90hz displayCons at a glance1. No headphone jack.2. No type C to 3.5mm cable atleast.3. The phone is heavy.4. No OTG adapter."
159,"One of the best screen I've seen on a phone. Camera is brilliant, even in low light. Was skeptical initially due to some bad reviews, but contrary to those I don't see any issues so far. Been using for four days and tested out most of the features and loved almost everything about the phone, except for the weight. Battery life with 60Hz at this resolution is quite remarkable. 90Hz pushed through a day, but on 60Hz it's a breeze for day and half. I did notice few software glitches after the latest update while sharing cam clicked images via WhatsApp, but was fixed after a reboot. So no complaints there as well. Overall, find it worth for the money paid."
160,I was littlebit sceptical after reading some genera and negative reviews about it on the amazon as well as on YouTube...but after i used for 2 days ...i am loving it... camera has gone better after latest update ...and.....and this thing is pure Butter. Go for it....Best in its  class....not regretting a penny in 49k i spent....no issues yet
161,"I would like to say that this is not an 'out of world' product as you see in most of the reviews. The one and most amazing aspect I like about this product is its display for which I would give 4.5/5 compared to iPhone XS Max display which would be 4/5 according to my experience.  In performance factor also I would say that this will be the fastest phone I have ever used. Apart from these 2, this phone is just like any other Android phone in this price range or slightly above. The camera is just an average component and cannot be called as a flagship feature here (except night shots are pretty amazing though). The size is also quite huge that its difficult to operate it with just one hand. Charging is pretty decent and would take around .1 - 1.15 hours from 0-100. Battery back is the same as that of one plus 6t which will last for a day with a full charge and medium usage. Overall I would say this is an okayish product but not an amazing product from the future."
162,"Rubbish item!!!!! No data security . Phone gets unlocked by anyone , only thing u will have to do is just don't let the secondary camera pop up (by applying finger pressure over camera)after u press power button for 3-5 seconds. See and enjoy the magic!!!!!!"
163,"This was a great deal offered by Amazon. The phone quality is top notch. 90hz screen refresh rate gives a buttery smooth experience while using the apps which support it. In-display fingerprint reader is relatively fast and accurate. Haptics is improved and precise but not as good as iPhone which is a lot more expensive.Battery life is not awesome but decent as it drains out faster when the phone is used heavily while playing games. Although the warp charging does really help out here. The phone charges upto 50% in under 20 mins. This 50% lasts quite a while when used judiciously.Camera quality is decent again. Photos come out crystal clear and sharp in good lighting. Night photos are not very clear and have a lot of grain. Inbuilt night mode provides a brighter image but still there's grain visible in the photos. Selfie camera is also good. There is the motor noise when the selfie camera pops up and down. I dont recommend using the pop up camera for unlocking the phone.Considering the price, I would recommend this phone to anyone with this budget. This is 2019's best phone afterall."
164,"Starting with the camera quality, the phone takes gorgeous pictures. Within three weeks, OnePlus has send more than three updates centered on the camera and it gets better and better. Photos are sharp, colors a bit vibrant but I love it, video quality is better than any phone. Portraits are somewhat average, but that is true for any smartphone. Selfies too are of very good quality, and support nightscape.In very low light (almost pitch black with a few lights in the distance) the phone performed better than my expectations but I rarely use it for such situations. In normal low light (clubs, dimly lit rooms) it performs very well. I have attached a lot of camera samples. The best part about the OnePlus 7 Pro is the sharp quad HD display and with the 90Hz display, you can't stop just scrolling through your phone because it's so smooth and addictive. Everything from 4k videos to just the wallpapers look mesmerizing on this phone. The chin of the phone is also almost non existent, like the iPhone X.The fingerprint reader is very fast but takes more than one try with wet hands.The battery lasted much longer than the reviews said, easily finishing one day (and more than one with moderate usage and the battery saver turned on).The performance is just mind-numbingly fast. I realised its importance while opening PayTm which would always open slowly on my previous phone. No lag whatsoever.OxygenOS is a big reason to consider this phone because it is much better than the OneUI or Oppo/Vivo's wierd UIs.The only complaint I have is that OnePlus did not include a headphone jack converter in the box and the official converter on their website is out of stock. I tried a few cheap converters but sound quality was very bad. This is a trick for me to buy their new Bluetooth earphones WHICH I WILL NOT.Anyway the speaker quality is very very rich and good with Dolby Atmos so I can manage till I buy a pair of other Bluetooth earphones."
165,"This phone is awesome, but I can't really use my headphones right now because I didn't get a 3.5mm to USB Type C cable. I tried buying it on the OnePlus official website but it is out of stock.The 90Hz refresh rate and everything else about this phone is fantastic.I bought the 12GB variant and I guess it is completely worth, since it gives a tough competition to premium flagships of Samsung and Apple.I play a lot of video games and I find this phone perfect for a person like me.While playing heavy-duty games like PUBG or Fortnite, the battery drains a bit fast but you can charge it from 0-100 in an hour.The screen is really huge, and because of its features I guess the phone weighs a bit more than other phones do.I would definitely recommend buying this phone to my friends or colleagues."
166,The phone is absolutely FANTASTIC! Works like a charm. The best thing is the display! Nothing comes close to this!A few cons I noticed are:1. The phone is kinda long from the usual ones.2. It's heavy (especially since I jumped from Oneplus 3 - 150g to oneplus 7 pro - 200g)4. The case that comes with this is slippery so better to buy a new one. I'm looking for one now too.5. The battery seems to go down a little faster to my liking with the 90Hz on. I haven't tried 60Hz yet thanks to the WARP charger.
167,"I read more reviews on this phone and saw many videos of reviews and tech experts many of them say that it's the best phone in Android. As they mentioned seriously it's the really the best phone. Best features. I took 8gb ram 7 pro.1. Display, 2. Touch, 3. Camera, 4. Speed, 5. Design, 6. Battery life, 7. Fast charge.Drawbacks1. No headset jack.2. Portrait mode is only for limited distance.3. Memory card slot.As it is the premium phone and paying 53k we expect basic things like headset jack or the headset. But didn't even give the music jack connector.All the premium phones have wireless features but we miss in this phone. Hope it comes in next version."
168,Just one word . Amazing.  The speed is terrific and the response from the insane machine is mind boggling . It switches from tab to tab like lightning . Front camera is a pop but have no fear.  It's well designed and has fall prevention sensor . Phone doesn't have headphones slot and hence need to use wireless . Sound and video clarity is beautiful . I would suggest this phone to people like me who still believes in Android and for the love of Goodies it offers .
169,"I am very happy with the product. But what's the meaning of phone without headphone jack or connector. If we are buying the phone of 50000, the company cant even provide us the connector for earphone? I would suggest not to go for this phone until and unless they have a solution for this. Before buying this phone just think why didn't they provide Type C earphone or connector. If we are spending more than 30K on any phone. We expect all accessories for the same."
